# X pos [um],Y pos [um],[23Na]+
253,38670,15221.42418
309.7376033,38670,8056.353543
366.4752066,38670,627231.9235
423.2128099,38670,353410.3273
479.9504132,38670,66652.95448
536.6880165,38670,20550.44842
593.4256198,38670,37601.17718
650.1632231,38670,95790.68378
706.9008264,38670,13749.49611
763.6384298,38670,12513.93606
820.3760331,38670,24751.3526
877.1136364,38670,4794.488967
933.8512397,38670,1253.188449
990.588843,38670,114.9236128
1047.326446,38670,563.1399574
1104.06405,38670,2605.749688
1160.801653,38670,576.2580155
1217.539256,38670,207.4573188
1274.27686,38670,0
1331.014463,38670,0
1387.752066,38670,6.384187434
1444.489669,38670,0
1501.227273,38670,0
1557.964876,38670,0
1614.702479,38670,215.5069566
1671.440083,38670,321.2063762
1728.177686,38670,24.467564
1784.915289,38670,48.58279333
1841.652893,38670,0
1898.390496,38670,1516.239572
1955.128099,38670,2718.606065
2011.865702,38670,676.2020497
2068.603306,38670,2393.087605
2125.340909,38670,8119.639861
2182.078512,38670,709.5344074
2238.816116,38670,6830.359803
2295.553719,38670,7421.279829
2352.291322,38670,18885.12834
2409.028926,38670,3379.289445
2465.766529,38670,11944.50403
2522.504132,38670,13770.98411
2579.241736,38670,11962.71325
2635.979339,38670,6735.091239
2692.716942,38670,6422.087785
2749.454545,38670,11213.912
2806.192149,38670,29822.52083
2862.929752,38670,10558.52797
2919.667355,38670,14383.39214
2976.404959,38670,44810.4015
3033.142562,38670,7668.391841
3089.880165,38670,23999.27257
3146.617769,38670,231895.6819
3203.355372,38670,30445.67286
3260.092975,38670,19852.08838
3316.830579,38670,8570.887881
3373.568182,38670,5136.110505
3430.305785,38670,20281.8484
3487.043388,38670,11084.98399
3543.780992,38670,17241.29627
3600.518595,38670,32809.35296
3657.256198,38670,24751.3526
3713.993802,38670,65019.8664
3770.731405,38670,41565.71335
3827.469008,38670,46056.70556
3884.206612,38670,74667.97883
3940.944215,38670,78729.21102
3997.681818,38670,87378.1314
4054.419421,38670,79180.45904
4111.157025,38670,151756.1823
4167.894628,38670,61409.88224
4224.632231,38670,125530.0771
4281.369835,38670,67673.63452
4338.107438,38670,57950.31409
4394.845041,38670,25514.17664
4451.582645,38670,14028.84012
4508.320248,38670,10601.50397
4565.057851,38670,2416.172418
4621.795455,38670,2145.109886
4678.533058,38670,3120.574943
4735.270661,38670,7829.551848
4792.008264,38670,7109.703816
4848.745868,38670,4309.2265
4905.483471,38670,1233.912875
4962.221074,38670,9043.623902
5018.958678,38670,5293.967734
5075.696281,38670,4884.245889
5132.433884,38670,6798.127802
5189.171488,38670,4950.159719
5245.909091,38670,3832.783669
5302.646694,38670,10343.64796
5359.384298,38670,9279.991913
5416.121901,38670,2604.724182
5472.859504,38670,3797.851637
5529.597107,38670,7872.52785
5586.334711,38670,8484.935877
5643.072314,38670,1670.873129
5699.809917,38670,4391.471694
5756.547521,38670,4707.922895
5813.285124,38670,3854.27167
5870.022727,38670,7066.727814
5926.760331,38670,2257.555862
5983.497934,38670,11933.76003
6040.235537,38670,13137.08808
6096.97314,38670,8635.351884
6153.710744,38670,34066.40102
6210.448347,38670,97746.09186
6267.18595,38670,55296.54597
6323.923554,38670,25471.20064
6380.661157,38670,64353.73837
6437.39876,38670,22333.9525
6494.136364,38670,14404.88014
6550.873967,38670,51450.1938
6607.61157,38670,35119.31307
6664.349174,38670,17252.04027
6721.086777,38670,61624.76225
6777.82438,38670,40845.86532
6834.561983,38670,23612.48855
6891.299587,38670,11634.51493
6948.03719,38670,123306.069
7004.774793,38670,27512.56073
7061.512397,38670,12374.26405
7118.25,38670,19690.92838
7174.987603,38670,93502.21168
7231.725207,38670,41178.92934
7288.46281,38670,25546.40864
7345.200413,38670,5046.855723
7401.938017,38670,11708.13602
7458.67562,38670,99260.99593
7515.413223,38670,37096.20916
7572.150826,38670,30778.73687
7628.88843,38670,79115.99503
7685.626033,38670,27211.72871
7742.363636,38670,3207.09798
7799.10124,38670,18369.41632
7855.838843,38670,36021.80911
7912.576446,38670,5863.39976
7969.31405,38670,26105.09666
8026.051653,38670,12460.21605
8082.789256,38670,81071.40312
8139.52686,38670,3112.935637
8196.264463,38670,51836.97781
8253.002066,38670,25191.85662
8309.739669,38670,69596.81061
8366.477273,38670,16489.21623
8423.214876,38670,19712.41638
8479.952479,38670,121544.0529
8536.690083,38670,672657.5576
8593.427686,38670,21281.04045
8650.165289,38670,432647.3308
8706.902893,38670,437546.595
8763.640496,38670,58734.62612
8820.378099,38670,48323.68966
8877.115702,38670,289043.0204
8933.853306,38670,724927.1199
8990.590909,38670,465975.2203
