# X pos [um],Y pos [um],[23Na]+
855,46663,84.05648596
903.7612903,46663,165.2180879
952.5225806,46663,342.9382791
1001.283871,46663,244.4772195
1050.045161,46663,181.2624681
1098.806452,46663,233.4351231
1147.567742,46663,262.5503054
1196.329032,46663,240.4616864
1245.090323,46663,185.2742058
1293.851613,46663,192.2953657
1342.612903,46663,207.3433606
1391.374194,46663,100.0800641
1440.135484,46663,173.2397638
1488.896774,46663,103.084942
1537.658065,46663,72.0414959
1586.419355,46663,89.06341315
1635.180645,46663,79.04995957
1683.941935,46663,95.07225491
1732.703226,46663,155.1924386
1781.464516,46663,97.07533046
1830.225806,46663,88.06199564
1878.987097,46663,73.04265691
1927.748387,46663,95.07225491
1976.509677,46663,89.06341315
2025.270968,46663,82.05382731
2074.032258,46663,106.0899643
2122.793548,46663,94.0707412
2171.554839,46663,62.03076726
2220.316129,46663,83.05514862
2269.077419,46663,93.06924352
2317.83871,46663,87.06059417
2366.6,46663,120.1153107
2415.36129,46663,100.0800641
2464.122581,46663,194.301556
2512.883871,46663,114.1040629
2561.645161,46663,80.05123279
2610.406452,46663,84.05648596
2659.167742,46663,95.07225491
2707.929032,46663,92.06776187
2756.690323,46663,98.07689228
2805.451613,46663,94.0707412
2854.212903,46663,77.04746124
2902.974194,46663,72.0414959
2951.735484,46663,99.07847015
3000.496774,46663,94.0707412
3049.258065,46663,81.05252203
3098.019355,46663,90.06484669
3146.780645,46663,76.04623611
3195.541935,46663,76.04623611
3244.303226,46663,82.05382731
3293.064516,46663,80.05123279
3341.825806,46663,87.06059417
3390.587097,46663,88.06199564
3439.348387,46663,83.05514862
3488.109677,46663,84.05648596
3536.870968,46663,81.05252203
3585.632258,46663,73.04265691
3634.393548,46663,108.0933927
3683.154839,46663,82.05382731
3731.916129,46663,99.07847015
3780.677419,46663,74.04383395
3829.43871,46663,91.06629626
3878.2,46663,102.0833
3926.96129,46663,89.06341315
3975.722581,46663,80.05123279
4024.483871,46663,89.06341315
4073.245161,46663,92.06776187
