# X pos [um],Y pos [um],[23Na]+
1441,51571,215.1850592
1496.353591,51571,260.2706815
1551.707182,51571,254.2583265
1607.060773,51571,230.2117949
1662.414365,51571,244.2383767
1717.767956,51571,242.234483
1773.121547,51571,244.2383767
1828.475138,51571,230.2117949
1883.828729,51571,244.2383767
1939.18232,51571,234.2192292
1994.535912,51571,225.2026824
2049.889503,51571,235.2211078
2105.243094,51571,241.2325482
2160.596685,51571,214.1833409
2215.950276,51571,214.1833409
2271.303867,51571,252.2542723
2326.657459,51571,227.2063033
2382.01105,51571,231.2136414
2437.364641,51571,227.2063033
2492.718232,51571,225.2026824
2548.071823,51571,247.2442773
2603.425414,51571,227.2063033
2658.779006,51571,208.1732001
2714.132597,51571,226.2044889
2769.486188,51571,246.2423024
2824.839779,51571,233.2173586
2880.19337,51571,224.200884
2935.546961,51571,225.2026824
2990.900552,51571,243.2364258
3046.254144,51571,244.2383767
3101.607735,51571,369.5454491
3156.961326,51571,4202.300908
3212.314917,51571,84116.17648
3267.668508,51571,2850.126627
3323.022099,51571,968.7393338
3378.375691,51571,499.997996
3433.729282,51571,224.200884
3489.082873,51571,274.3006335
3544.436464,51571,219.1920122
3599.790055,51571,317.4024663
3655.143646,51571,15769.71161
3710.497238,51571,2423.263328
3765.850829,51571,1138.158133
3821.20442,51571,777.4099709
3876.558011,51571,350.490687
3931.911602,51571,279.3117119
3987.265193,51571,246.2423024
4042.618785,51571,248.2462603
4097.972376,51571,231.2136414
4153.325967,51571,232.215496
4208.679558,51571,228.2081258
4264.033149,51571,221.1955369
4319.38674,51571,220.1937705
4374.740331,51571,320.410125
4430.093923,51571,301.3628409
4485.447514,51571,550.2082573
4540.801105,51571,1416.986134
4596.154696,51571,2113.721441
4651.508287,51571,2284.690154
4706.861878,51571,716.0450246
4762.21547,51571,293.3437989
4817.569061,51571,272.2962583
4872.922652,51571,230.2117949
4928.276243,51571,258.2665311
4983.629834,51571,235.2211078
5038.983425,51571,227.2063033
5094.337017,51571,244.2383767
5149.690608,51571,236.2229945
5205.044199,51571,214.1833409
5260.39779,51571,253.2562954
5315.751381,51571,235.2211078
5371.104972,51571,225.2026824
5426.458564,51571,234.2192292
5481.812155,51571,230.2117949
5537.165746,51571,227.2063033
5592.519337,51571,265.2811981
5647.872928,51571,317.4024663
5703.226519,51571,782.4412166
5758.58011,51571,3559.982149
5813.933702,51571,12861.96529
5869.287293,51571,1872.927086
5924.640884,51571,724.0911753
5979.994475,51571,338.4575947
6035.348066,51571,280.3139516
6090.701657,51571,220.1937705
6146.055249,51571,242.234483
6201.40884,51571,215.1850592
6256.762431,51571,247.2442773
6312.116022,51571,229.2099563
6367.469613,51571,226.2044889
6422.823204,51571,249.2482513
6478.176796,51571,251.2522573
6533.530387,51571,350.490687
6588.883978,51571,1805.95229
6644.237569,51571,865.9893954
6699.59116,51571,4041.288823
6754.944751,51571,2275.525238
6810.298343,51571,1081.65979
6865.651934,51571,865.9893954
6921.005525,51571,2477.30734
6976.359116,51571,10387.37309
7031.712707,51571,2114.738426
7087.066298,51571,2017.14523
7142.41989,51571,1565.745198
7197.773481,51571,1067.539177
7253.127072,51571,1080.651122
7308.480663,51571,754.2688407
7363.834254,51571,718.0565139
7419.187845,51571,481.927228
7474.541436,51571,379.5754364
7529.895028,51571,363.5278424
7585.248619,51571,432.7477882
7640.60221,51571,610.4871467
7695.955801,51571,400.6410256
7751.309392,51571,399.637822
7806.662983,51571,311.3873659
7862.016575,51571,277.3072564
7917.370166,51571,348.4850912
7972.723757,51571,316.3999295
8028.077348,51571,426.7271431
8083.430939,51571,362.5249361
8138.78453,51571,319.4075641
8194.138122,51571,409.6702205
8249.491713,51571,371.5513823
8304.845304,51571,300.3604325
8360.198895,51571,307.3774595
8415.552486,51571,327.4282762
8470.906077,51571,398.6346263
8526.259669,51571,259.2686023
8581.61326,51571,343.4712425
8636.966851,51571,473.8966124
8692.320442,51571,355.5048168
8747.674033,51571,300.3604325
8803.027624,51571,385.5938145
8858.381215,51571,390.6093506
8913.734807,51571,377.5693746
8969.088398,51571,350.490687
9024.441989,51571,284.3229909
9079.79558,51571,369.5454491
9135.149171,51571,393.6187687
9190.502762,51571,332.4414823
9245.856354,51571,343.4712425
9301.209945,51571,367.5395481
9356.563536,51571,363.5278424
9411.917127,51571,318.4050112
9467.270718,51571,362.5249361
9522.624309,51571,322.4152709
9577.977901,51571,332.4414823
9633.331492,51571,374.5603423
9688.685083,51571,307.3774595
9744.038674,51571,334.446821
9799.392265,51571,392.6156213
9854.745856,51571,346.4795277
9910.099448,51571,380.5784793
9965.453039,51571,371.5513823
10020.80663,51571,308.3799241
10076.16022,51571,385.5938145
10131.51381,51571,267.2854609
10186.8674,51571,379.5754364
10242.22099,51571,333.4441476
10297.57459,51571,464.8627853
10352.92818,51571,283.3207191
10408.28177,51571,432.7477882
10463.63536,51571,472.8928216
10518.98895,51571,322.4152709
10574.34254,51571,438.7687228
10629.69613,51571,576.3255488
10685.04972,51571,598.4290486
10740.40331,51571,230.2117949
10795.75691,51571,348.4850912
10851.1105,51571,741.1909605
10906.46409,51571,351.4934969
10961.81768,51571,938.5100275
11017.17127,51571,606.4676517
11072.52486,51571,546.1906957
11127.87845,51571,322.4152709
11183.23204,51571,409.6702205
11238.58564,51571,284.3229909
11293.93923,51571,1018.129533
11349.29282,51571,603.4531151
11404.64641,51571,610.4871467
11460,51571,531.1259871
11460,51571,232.215496
11516.07216,51571,496.9860203
11572.14433,51571,1456.435675
11628.21649,51571,812.6329307
11684.28866,51571,699.9542723
11740.36082,51571,522.0880315
11796.43299,51571,989.9041821
11852.50515,51571,589.3862364
11908.57732,51571,968.7393338
11964.64948,51571,613.5018525
12020.72165,51571,295.3485112
12076.79381,51571,506.0221648
12132.86598,51571,1194.681907
12188.93814,51571,405.6571646
12245.01031,51571,1653.869229
12301.08247,51571,1889.168766
12357.15464,51571,686.8820568
12413.2268,51571,326.4256591
12469.29897,51571,516.06309
12525.37113,51571,540.1645949
12581.4433,51571,674.8166063
12637.51546,51571,656.720608
12693.58763,51571,1675.149797
12749.65979,51571,2756.051991
12805.73196,51571,1136.139897
12861.80412,51571,474.9004112
12917.87629,51571,691.9096707
12973.94845,51571,1648.802957
13030.02062,51571,550.2082573
13086.09278,51571,482.9310911
13142.16495,51571,576.3255488
13198.23711,51571,486.9466242
13254.30928,51571,512.0466233
13310.38144,51571,2691.671687
13366.45361,51571,831.7581099
13422.52577,51571,812.6329307
13478.59794,51571,1082.668466
13534.6701,51571,1275.474308
13590.74227,51571,922.3907082
13646.81443,51571,792.5043136
13702.8866,51571,675.8220162
13758.95876,51571,1000.991956
13815.03093,51571,731.1319809
13871.10309,51571,868.0032914
13927.17526,51571,670.7950475
13983.24742,51571,583.3580576
14039.31959,51571,741.1909605
14095.39175,51571,821.6918625
14151.46392,51571,527.1090374
14207.53608,51571,2435.497682
14263.60825,51571,1546.507931
14319.68041,51571,735.1554759
14375.75258,51571,1028.211555
14431.82474,51571,1154.305187
14487.89691,51571,1352.275241
14543.96907,51571,534.1387839
14600.04124,51571,1526.261354
14656.1134,51571,1396.760401
14712.18557,51571,1310.837328
14768.25773,51571,745.2147783
14824.3299,51571,4623.971319
14880.40206,51571,1205.787781
14936.47423,51571,1065.522076
14992.54639,51571,639.6323417
15048.61856,51571,1010.0645
15104.69072,51571,2651.833646
15160.76289,51571,2603.840387
15216.83505,51571,3251.752502
15272.90722,51571,1546.507931
15328.97938,51571,1525.249111
15385.05155,51571,1863.792061
15441.12371,51571,1199.72991
15497.19588,51571,913.3245012
15553.26804,51571,1308.816315
15609.34021,51571,1044.344473
15665.41237,51571,1249.211077
15721.48454,51571,715.0392921
15777.5567,51571,1950.093725
15833.62887,51571,1334.081304
15889.70103,51571,1232.041934
15945.7732,51571,1141.185547
16001.84536,51571,1562.707539
16057.91753,51571,1666.029113
16113.98969,51571,1036.277755
16170.06186,51571,1904.397243
16226.13402,51571,1206.797455
16282.20619,51571,696.9374862
16338.27835,51571,2315.244685
16394.35052,51571,862.968612
16450.42268,51571,876.0591987
16506.49485,51571,722.0795892
16562.56701,51571,958.6620892
16618.63918,51571,1371.48281
16674.71134,51571,754.2688407
16730.78351,51571,991.9200681
16786.85567,51571,1024.178649
16842.92784,51571,711.0164426
16899,51571,796.5297786
16899,51571,209.1748702
16954.4697,51571,227.2063033
17009.93939,51571,361.5220378
17065.40909,51571,244.2383767
17120.87879,51571,305.3725545
17176.34848,51571,393.6187687
17231.81818,51571,269.2897558
17287.28788,51571,226.2044889
17342.75758,51571,549.2038548
17398.22727,51571,695.931907
17453.69697,51571,1513.102827
17509.16667,51571,244.2383767
17564.63636,51571,259.2686023
17620.10606,51571,214.1833409
17675.57576,51571,207.171538
17731.04545,51571,237.2248892
17786.51515,51571,231.2136414
17841.98485,51571,226.2044889
17897.45455,51571,219.1920122
17952.92424,51571,213.1816307
18008.39394,51571,242.234483
18063.86364,51571,215.1850592
18119.33333,51571,227.2063033
18174.80303,51571,204.1665999
18230.27273,51571,461.8516545
18285.74242,51571,842.8319152
18341.21212,51571,293.3437989
18396.68182,51571,214.1833409
